nohup: ignorando entrada
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1779474289.150157 2144240 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
I0000 00:00:1779474289.197426 2144240 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1779474290.333784 2144240 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-05-22 14:24:51,232 | INFO    | runner | Experiment strategy1_segments_torch starting
2026-05-22 14:24:52,319 | INFO    | runner | Loaded 34144 records
2026-05-22 14:24:52,326 | INFO    | runner | Split: train=27309 test=6835
2026-05-22 14:24:52,327 | INFO    | runner | [train] embedded 50/27309
2026-05-22 14:24:52,327 | INFO    | runner | [train] embedded 100/27309
2026-05-22 14:24:52,328 | INFO    | runner | [train] embedded 150/27309
2026-05-22 14:24:52,329 | INFO    | runner | [train] embedded 200/27309
2026-05-22 14:24:52,330 | INFO    | runner | [train] embedded 250/27309
2026-05-22 14:24:52,331 | INFO    | runner | [train] embedded 300/27309
2026-05-22 14:24:52,332 | INFO    | runner | [train] embedded 350/27309
2026-05-22 14:24:52,332 | INFO    | runner | [train] embedded 400/27309
2026-05-22 14:24:52,333 | INFO    | runner | [train] embedded 450/27309
2026-05-22 14:24:52,335 | INFO    | runner | [train] embedded 500/27309
2026-05-22 14:24:52,335 | INFO    | runner | [train] embedded 550/27309
2026-05-22 14:24:52,336 | INFO    | runner | [train] embedded 600/27309
2026-05-22 14:24:52,337 | INFO    | runner | [train] embedded 650/27309
2026-05-22 14:24:52,500 | INFO    | runner | [train] embedded 700/27309
2026-05-22 14:24:52,501 | INFO    | runner | [train] embedded 750/27309
2026-05-22 14:24:52,501 | INFO    | runner | [train] embedded 800/27309
2026-05-22 14:24:52,502 | INFO    | runner | [train] embedded 850/27309
2026-05-22 14:24:52,503 | INFO    | runner | [train] embedded 900/27309
2026-05-22 14:24:52,504 | INFO    | runner | [train] embedded 950/27309
2026-05-22 14:24:52,504 | INFO    | runner | [train] embedded 1000/27309
2026-05-22 14:24:52,505 | INFO    | runner | [train] embedded 1050/27309
2026-05-22 14:24:52,506 | INFO    | runner | [train] embedded 1100/27309
2026-05-22 14:24:52,507 | INFO    | runner | [train] embedded 1150/27309
2026-05-22 14:24:52,508 | INFO    | runner | [train] embedded 1200/27309
2026-05-22 14:24:52,508 | INFO    | runner | [train] embedded 1250/27309
2026-05-22 14:24:52,509 | INFO    | runner | [train] embedded 1300/27309
2026-05-22 14:24:52,510 | INFO    | runner | [train] embedded 1350/27309
2026-05-22 14:24:52,511 | INFO    | runner | [train] embedded 1400/27309
2026-05-22 14:24:52,511 | INFO    | runner | [train] embedded 1450/27309
2026-05-22 14:24:52,512 | INFO    | runner | [train] embedded 1500/27309
2026-05-22 14:24:52,513 | INFO    | runner | [train] embedded 1550/27309
2026-05-22 14:24:52,520 | INFO    | runner | [train] embedded 1600/27309
2026-05-22 14:24:52,521 | INFO    | runner | [train] embedded 1650/27309
2026-05-22 14:24:52,521 | INFO    | runner | [train] embedded 1700/27309
2026-05-22 14:24:52,522 | INFO    | runner | [train] embedded 1750/27309
2026-05-22 14:24:52,523 | INFO    | runner | [train] embedded 1800/27309
2026-05-22 14:24:52,524 | INFO    | runner | [train] embedded 1850/27309
2026-05-22 14:24:52,524 | INFO    | runner | [train] embedded 1900/27309
2026-05-22 14:24:52,525 | INFO    | runner | [train] embedded 1950/27309
2026-05-22 14:24:52,526 | INFO    | runner | [train] embedded 2000/27309
2026-05-22 14:24:52,527 | INFO    | runner | [train] embedded 2050/27309
2026-05-22 14:24:52,527 | INFO    | runner | [train] embedded 2100/27309
2026-05-22 14:24:52,528 | INFO    | runner | [train] embedded 2150/27309
2026-05-22 14:24:52,529 | INFO    | runner | [train] embedded 2200/27309
2026-05-22 14:24:52,530 | INFO    | runner | [train] embedded 2250/27309
2026-05-22 14:24:52,530 | INFO    | runner | [train] embedded 2300/27309
2026-05-22 14:24:52,531 | INFO    | runner | [train] embedded 2350/27309
2026-05-22 14:24:52,532 | INFO    | runner | [train] embedded 2400/27309
2026-05-22 14:24:52,533 | INFO    | runner | [train] embedded 2450/27309
2026-05-22 14:24:52,533 | INFO    | runner | [train] embedded 2500/27309
2026-05-22 14:24:52,534 | INFO    | runner | [train] embedded 2550/27309
2026-05-22 14:24:52,535 | INFO    | runner | [train] embedded 2600/27309
2026-05-22 14:24:52,536 | INFO    | runner | [train] embedded 2650/27309
2026-05-22 14:24:52,536 | INFO    | runner | [train] embedded 2700/27309
2026-05-22 14:24:52,538 | INFO    | runner | [train] embedded 2750/27309
2026-05-22 14:24:52,538 | INFO    | runner | [train] embedded 2800/27309
2026-05-22 14:24:52,539 | INFO    | runner | [train] embedded 2850/27309
2026-05-22 14:24:52,540 | INFO    | runner | [train] embedded 2900/27309
2026-05-22 14:24:52,541 | INFO    | runner | [train] embedded 2950/27309
2026-05-22 14:24:52,541 | INFO    | runner | [train] embedded 3000/27309
2026-05-22 14:24:52,542 | INFO    | runner | [train] embedded 3050/27309
2026-05-22 14:24:52,543 | INFO    | runner | [train] embedded 3100/27309
2026-05-22 14:24:52,543 | INFO    | runner | [train] embedded 3150/27309
2026-05-22 14:24:52,544 | INFO    | runner | [train] embedded 3200/27309
2026-05-22 14:24:52,545 | INFO    | runner | [train] embedded 3250/27309
2026-05-22 14:24:52,546 | INFO    | runner | [train] embedded 3300/27309
2026-05-22 14:24:52,546 | INFO    | runner | [train] embedded 3350/27309
2026-05-22 14:24:52,547 | INFO    | runner | [train] embedded 3400/27309
2026-05-22 14:24:52,548 | INFO    | runner | [train] embedded 3450/27309
2026-05-22 14:24:52,549 | INFO    | runner | [train] embedded 3500/27309
2026-05-22 14:24:52,549 | INFO    | runner | [train] embedded 3550/27309
2026-05-22 14:24:52,550 | INFO    | runner | [train] embedded 3600/27309
2026-05-22 14:24:52,551 | INFO    | runner | [train] embedded 3650/27309
2026-05-22 14:24:52,552 | INFO    | runner | [train] embedded 3700/27309
2026-05-22 14:24:52,552 | INFO    | runner | [train] embedded 3750/27309
2026-05-22 14:24:52,553 | INFO    | runner | [train] embedded 3800/27309
2026-05-22 14:24:52,554 | INFO    | runner | [train] embedded 3850/27309
2026-05-22 14:24:52,555 | INFO    | runner | [train] embedded 3900/27309
2026-05-22 14:24:52,556 | INFO    | runner | [train] embedded 3950/27309
2026-05-22 14:24:52,556 | INFO    | runner | [train] embedded 4000/27309
2026-05-22 14:24:52,557 | INFO    | runner | [train] embedded 4050/27309
2026-05-22 14:24:52,558 | INFO    | runner | [train] embedded 4100/27309
2026-05-22 14:24:52,559 | INFO    | runner | [train] embedded 4150/27309
2026-05-22 14:24:52,559 | INFO    | runner | [train] embedded 4200/27309
2026-05-22 14:24:52,560 | INFO    | runner | [train] embedded 4250/27309
2026-05-22 14:24:52,561 | INFO    | runner | [train] embedded 4300/27309
2026-05-22 14:24:52,562 | INFO    | runner | [train] embedded 4350/27309
2026-05-22 14:24:52,562 | INFO    | runner | [train] embedded 4400/27309
