2026-05-22 17:56:20,264 | INFO    | runner | [train] embedded 50/27309
2026-05-22 17:56:20,265 | INFO    | runner | [train] embedded 100/27309
2026-05-22 17:56:20,266 | INFO    | runner | [train] embedded 150/27309
2026-05-22 17:56:20,267 | INFO    | runner | [train] embedded 200/27309
2026-05-22 17:56:20,268 | INFO    | runner | [train] embedded 250/27309
2026-05-22 17:56:20,269 | INFO    | runner | [train] embedded 300/27309
2026-05-22 17:56:20,270 | INFO    | runner | [train] embedded 350/27309
2026-05-22 17:56:20,271 | INFO    | runner | [train] embedded 400/27309
2026-05-22 17:56:20,272 | INFO    | runner | [train] embedded 450/27309
2026-05-22 17:56:20,272 | INFO    | runner | [train] embedded 500/27309
2026-05-22 17:56:20,273 | INFO    | runner | [train] embedded 550/27309
2026-05-22 17:56:20,274 | INFO    | runner | [train] embedded 600/27309
2026-05-22 17:56:20,275 | INFO    | runner | [train] embedded 650/27309
2026-05-22 17:56:20,276 | INFO    | runner | [train] embedded 700/27309
2026-05-22 17:56:20,277 | INFO    | runner | [train] embedded 750/27309
2026-05-22 17:56:20,278 | INFO    | runner | [train] embedded 800/27309
2026-05-22 17:56:20,278 | INFO    | runner | [train] embedded 850/27309
2026-05-22 17:56:20,279 | INFO    | runner | [train] embedded 900/27309
2026-05-22 17:56:20,280 | INFO    | runner | [train] embedded 950/27309
2026-05-22 17:56:20,281 | INFO    | runner | [train] embedded 1000/27309
2026-05-22 17:56:20,282 | INFO    | runner | [train] embedded 1050/27309
2026-05-22 17:56:20,283 | INFO    | runner | [train] embedded 1100/27309
2026-05-22 17:56:20,283 | INFO    | runner | [train] embedded 1150/27309
2026-05-22 17:56:20,284 | INFO    | runner | [train] embedded 1200/27309
2026-05-22 17:56:20,285 | INFO    | runner | [train] embedded 1250/27309
2026-05-22 17:56:20,286 | INFO    | runner | [train] embedded 1300/27309
2026-05-22 17:56:20,287 | INFO    | runner | [train] embedded 1350/27309
2026-05-22 17:56:20,288 | INFO    | runner | [train] embedded 1400/27309
2026-05-22 17:56:20,289 | INFO    | runner | [train] embedded 1450/27309
2026-05-22 17:56:20,289 | INFO    | runner | [train] embedded 1500/27309
2026-05-22 17:56:20,290 | INFO    | runner | [train] embedded 1550/27309
2026-05-22 17:56:20,291 | INFO    | runner | [train] embedded 1600/27309
2026-05-22 17:56:20,292 | INFO    | runner | [train] embedded 1650/27309
2026-05-22 17:56:20,293 | INFO    | runner | [train] embedded 1700/27309
2026-05-22 17:56:20,295 | INFO    | runner | [train] embedded 1750/27309
2026-05-22 17:56:20,295 | INFO    | runner | [train] embedded 1800/27309
2026-05-22 17:56:20,296 | INFO    | runner | [train] embedded 1850/27309
2026-05-22 17:56:20,297 | INFO    | runner | [train] embedded 1900/27309
2026-05-22 17:56:20,298 | INFO    | runner | [train] embedded 1950/27309
2026-05-22 17:56:20,299 | INFO    | runner | [train] embedded 2000/27309
2026-05-22 17:56:20,300 | INFO    | runner | [train] embedded 2050/27309
2026-05-22 17:56:20,300 | INFO    | runner | [train] embedded 2100/27309
2026-05-22 17:56:20,301 | INFO    | runner | [train] embedded 2150/27309
2026-05-22 17:56:20,302 | INFO    | runner | [train] embedded 2200/27309
2026-05-22 17:56:20,303 | INFO    | runner | [train] embedded 2250/27309
2026-05-22 17:56:20,304 | INFO    | runner | [train] embedded 2300/27309
2026-05-22 17:56:20,304 | INFO    | runner | [train] embedded 2350/27309
2026-05-22 17:56:20,305 | INFO    | runner | [train] embedded 2400/27309
2026-05-22 17:56:20,306 | INFO    | runner | [train] embedded 2450/27309
2026-05-22 17:56:20,307 | INFO    | runner | [train] embedded 2500/27309
2026-05-22 17:56:20,308 | INFO    | runner | [train] embedded 2550/27309
2026-05-22 17:56:20,309 | INFO    | runner | [train] embedded 2600/27309
2026-05-22 17:56:20,309 | INFO    | runner | [train] embedded 2650/27309
2026-05-22 17:56:20,310 | INFO    | runner | [train] embedded 2700/27309
2026-05-22 17:56:20,311 | INFO    | runner | [train] embedded 2750/27309
2026-05-22 17:56:20,312 | INFO    | runner | [train] embedded 2800/27309
2026-05-22 17:56:20,313 | INFO    | runner | [train] embedded 2850/27309
2026-05-22 17:56:20,314 | INFO    | runner | [train] embedded 2900/27309
2026-05-22 17:56:20,314 | INFO    | runner | [train] embedded 2950/27309
2026-05-22 17:56:20,315 | INFO    | runner | [train] embedded 3000/27309
2026-05-22 17:56:20,316 | INFO    | runner | [train] embedded 3050/27309
2026-05-22 17:56:20,317 | INFO    | runner | [train] embedded 3100/27309
2026-05-22 17:56:20,318 | INFO    | runner | [train] embedded 3150/27309
2026-05-22 17:56:20,319 | INFO    | runner | [train] embedded 3200/27309
2026-05-22 17:56:20,319 | INFO    | runner | [train] embedded 3250/27309
2026-05-22 17:56:20,320 | INFO    | runner | [train] embedded 3300/27309
2026-05-22 17:56:20,321 | INFO    | runner | [train] embedded 3350/27309
2026-05-22 17:56:20,322 | INFO    | runner | [train] embedded 3400/27309
